index	smarts
mh473	COC1:C:C:C(:C:C:C(=O):O):C:C:1C
mh474	OCC(=O)N1CC2CC(C1)c(ccc)n(C2)c=O
mh475	OC1C=CCO1
mh476	c1ccc2[nH]cc(CCC(=O)O)c2c1
mh477	CC1CC(CNC(=O)CO)Cn2c1cccc2=O
mh478	O=C1:C:C:O:C:C:1
mh479	C1=CC(=O)C=CC1C
mh480	OC1:C:C:C:C(O):C:1
mh481	C:C:C(=O):O:C1:C:C:C:C(:C:1)OCC(O)=NCC
mh482	NC(Cc(c[nH])c1cc(O)ccc1)C(O)=O
mh483	CCC(C(O)=O)CCCCN
mh484	Cc1c[nH]c(cc)c1cc
mh485	C(Ccc[nH]c1ccccc1)C(=O)O
mh486	CC1CC(CN(C1)C(O)=N)c1cccc(=O)n1
mh487	CCNCC(N)=O
mh488	CC(CCC(C)C(=O)O)CN=CO
mh489	NC(=O)COC1:C:C:C:C:C:1
mh490	CC1CC(c(ccc2)nc2=O)CN(CO)C1
mh491	NC(C(O)=O)Cc1ccccc1
mh492	CCCCCCO
mh493	CC=C1CC=CC(C1)C(C)CCC
mh494	C:C:C:C:C:C:C:CC1:C:C:C(O):C:C:1
mh495	CC(=O)N1CCCC(C1)c1cccc(=O)n1C
mh496	CCN(C=O)CCO
mh497	C(Cc(cc)ccc)C(=O)O
mh498	OC(=O)cccccc
mh499	CC(=O)N1CC2CC(C1)C1:C:C:C:C(=O):N:1C2
mh500	CC1CC(CN(C1)C(=O)CO)c1cccc(=O)n1
mh501	C(O)=NCC(=O)O
mh502	cc1ccccc1[nH]c
mh503	CN(C)CC(N)=O
mh504	ccCl
mh505	C:C:C:C(:C:CCCC):C:C:C(=O):O
mh506	c[nH]c1ccccc1
mh507	C1CCOCC1
mh508	CN(CC1CCc2cccc(=O)n2C1)C=O
mh509	CN(CC1CCCn2c1cccc2=O)C=O
mh510	NCC1CCCCC1
mh511	OCCCCO
mh512	CC(C)CCCCO
mh513	OCN1CC2CC(c(NC2)cccc=O)C1
